Word,Count
-------------------------------------------------------------------------------------------------------,3414
/,2137
*,1988
=,1876
»¡©ú:,1640
__,1536
¡C,1052
\/,1024
_,1024
____,768
:,630
@param,613
{,524
,520
/___/,512
###########################################################################,508
},476
//,452
@brief,339
@return,326
if,309
the,272
\0,\,272
by,265
\,262
Update,261
All,258
\\__/__//_/\__,\,256
Wu,256
--------------------------------------------------------------------------,256
Rights,256
_/,256
Reserved,256
fallingCAT,256
/_/___,256
Copyright,256
___,256
/__/,256
studios,256
Owen,256
__/,256
\\___/__,\,256
Created,256
(C),256
/__//_/_/\_\,256
Last,256
__/___,256
/_/__//_/\__/,256
LynxEngine,213
2003,212
1.00,212
for,212
Ver,212
2005/11/02,205
\1,\,177
lpFile);,169
case,132
break;,128
//-------------------------------------------------------------------------------------------------------,123
LYNXNEW,110
to,110
(int,109
0.0f;,99
int,91
else,90
of,88
\,\,84
in,78
0;,77
i++),73
0);,70
\NULL,\,67
return,64
object,63
a,62
*/,61
void,60
float,60
1.0f;,59
coordinate,58
i=0;,58
==,57
\sizeof(int),\,57
4,55
3);,55
Texture,53
with,52
-,52
space,51
Format,50
\LYNX_CA_TEXTURE,\,49
\20,\,49
is,49
\},\,49
static,47
and,47
LYNX_ADDRESS_CLAMP);,46
URL,44
Best,44
2003~2006,44
http://www.LynxEngine.net,44
viewed,44
Tabs,44
this,43
\LYNX_VSF_FLOAT,\,43
2004/07/27,43
\sizeof(DWORD),\,43
LYNX_TRUE;,42
/*,40
vertex,40
LYNXCHAR,40
window,39
\sizeof(LYNXREAL),\,39
+,38
&&,37
LYNXBOOL,37
\24,\,36
0xffffffff;,36
\LYNX_TF_LINEAR,\,34
LYNX_FALSE;,34
j++),33
+=,31
MaterialSystem::CTechnique(lpMat));,31
Key,31
\0.0f,\,31
Read,30
Technique,30
NULL;,29
!=,29
LYNX_CA_TEXTURE);,29
Position,28
---------------------------------------------------------------------,28
<,28
2,28
not,27
lpf);,27
frame,27
0,27
------------------------------------------------------------------,26
|,26
\lpf,\,26
\12,\,26
\LYNX_SEEK_FILE(lpFile,\,26
GraphicsSystem::CRenderer::AM_WRAP;,25
\LYNX_U_COORD,\,25
\LYNX_V_COORD,\,25
3,25
from,25
>,24
\2,\,24
fColor,24
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE);,24
variance,23
\Technique->GetPass(0).SetBlendFunc(GraphicsSystem::CRenderer::BF_ONE,\,23
j=0;,23
Technique->GetPass(0).m_DepthBufferMode,23
1.0f);,23
(i=0;,23
&,23
switch,23
triangle,22
LYNX_SEEK_CUR);,22
Animation,22
>=,22
\LYNX_VST_TEX_COORD,\,22
Compute,22
1;,22
ErrorExit;,21
color,21
CReal,21
goto,21
\255,\,21
\28,\,21
all,20
4);,20
/**,20
position,19
shader,19
DWORD,19
height,19
menu,19
LYNXVECTOR3D,19
GraphicsSystem::CRenderer::BF_ZERO);,18
\64,\,18
k++),18
//{,18
--------------------------------------------------------------------------------------,18
i;,18
LYNX_CA_TEXTURE;,18
char,18
0.0f,18
texture,18
1);,18
const,17
patch,17
\sizeof(char),\,17
\lynxSetVertexShaderConstantTableMatrix(lynxGetCurrentVertexShader(),\,17
be,17
};,17
class,17
function,17
\sizeof(WORD),\,17
This,16
\lynxSetTextureAddressMode(0,\,16
LYNXDEL,16
\lynxSetTextureAddressMode(1,\,16
TN.s.y,16
MaterialSystem::CTechnique(m_lpMaterials[i]));,16
255;,16
Create,16
TRUE;,16
\lynxSetPixelShaderConstantTable(lynxGetCurrentPixelShader(),\,16
H;,15
lpDObj;,15
when,15
\offset,\,15
\16,\,15
\10,\,15
\&Pos.s.x,\,15
If,15
\&ShadowColor,\,15
bbo);,14
);,14
one,14
LYNX_TRUE);,14
center,14
\LYNX_READ_FILE(&Num,\,14
\1.0f,\,14
((CEngine,14
\lynxSetPixelShaderConstantTableB(lynxGetCurrentPixelShader(),\,14
as,14
Size);,14
\CONTAINER_CAST(CModelContainer*,\,14
Initialise,14
that,14
(void,14
-H;,14
TN.s.z,14
\LYNX_CF_NONE,\,14
LYNXREAL,14
children,14
lpElem,14
----------------------------------------------------------------------------,14
m_Height*0.5f;,13
Render,13
\4,\,13
\&Rect,\,13
GraphicsSystem::CRenderer::BF_ONE);,13
new,13
each,13
triangles,13
#endif,13
\lynxPrintfWithShadow(&lynxGetCurrentRenderer()->SystemData.BackBuffer,\,13
on,13
(m_bUseBufferObject),13
m_Width*0.5f;,13
Technique->SetName(TName);,12
(*lpp));,12
Description,12
\lpValues,\,12
(fColor,12
\(lpp->x+Len*Dir.x),\,12
it,12
are,12
LYNXCOLORRGBA,12
\LYNX_VST_POSITION,\,12
\lynxStrCat(TName,\,12
we,12
255};,12
-W;,12
\Technique->LoadShaders(0,\,12
i<m_lpMeshArray.size();,12
\time,\,12
m_lpMaterials[i]->GetName().c_str());,12
||,12
Neighbor,12
lpMat,12
\LYNX_VECTOR3D_SUB(Dir,\,12
\fColor,\,12
\lynxStrCpy(TName,\,12
TN.s.x,12
k=0;,12
@return¡C,12
none,12
(LynxEngine::CGameObj::*)(const,12
LPLYNXFILE,12
split,12
\(lpp->y+Len*Dir.y),\,12
(lpp->z+Len*Dir.z));,12
\{255,\,12
W;,12
NULL),12
\filename,\,12
\&Color,\,12
Purpose,12
Function,12
vector,12
\lynxPrintf(SystemData.PrimaryBuffer,\,12
Reset,11
),11
Link,11
Diffuse,11
LYNX_LOCK_TO_WRITE_DISCARD_OLD);,11
long,11
lynxUnlockVertexArray(&m_VertexArray);,11
it's,11
\lynxLockVertexArray(&m_VertexArray,\,11
#ifdef,11
Variance,11
mesh,11
\lynxCreateVertexArray(&m_VertexArray,\,11
LYNX_GraphicsSystem::CRenderer::DB_CW;,11
FALSE;,11
normal,11
lpFile,11
\40,\,11
MaterialSystem::CMaterial*,11
\lynxSetTextureAddressMode(MaterialSystem::CTechnique::SHADOWMAP_CHANNEL,\,10
(Res,10
structure,10
<Offscreen>,10
X,10
