File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,AddToCallStack(const LYNXCHAR* s),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,GetCallStackString(),11,10,8,2,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CreateScript(CEngineCore* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,"DisposeCountedPtr(CObj* ptr, DWORD count)",9,6,4,1,1,0,2,6,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,GetEnumStr(PLAYMODE e),16,15,10,5,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,GetEnumStr(TRANSPARENTTYPE e),16,15,10,5,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,GetEnumStr(RESOURCETYPE e),67,66,44,22,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,"CEngineCore::GetFileNameFromPath(char* name, const char* path)",12,11,8,2,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::InitMembers(void),9,7,7,0,2,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::CEngineCore(void),2,2,2,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::~CEngineCore(void),33,12,10,1,6,0,15,48,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::vCreate(),83,64,43,8,14,0,5,25,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::vInit(),15,11,7,4,4,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::CreateResource(RESOURCETYPE type),4,3,3,1,0,0,1,1,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::DestroyResource(CResourcePtr& lpr),3,3,3,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::DestroyResource(const CString& name),3,3,3,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::FindResource(const CString& name),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::LoadSubSystem(const LYNXCHAR *name),26,23,12,4,2,0,1,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::UnloadSubSystem(CSystem* lpss),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,"CEngineCore::RegisterEvent(CEvent::TYPE t, CGameObj* obj)",2,2,2,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\#######LynxEngineCore.cpp,CEngineCore::BroadcastEvent(CEvent& e),26,23,12,7,3,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\##LynxString.cpp,CString::SetFromAnsiStr(const LYNXANSICHAR *str),8,7,7,0,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBaseObj.cpp,CBaseObj::CBaseObj(void),4,3,3,0,0,0,1,1,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBaseObj.cpp,CBaseObj::~CBaseObj(void),2,1,1,0,0,0,1,1,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBoolParam.cpp,CBoolParam::CBoolParam(void),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBoolParam.cpp,CBoolParam::~CBoolParam(void),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBoolParam.cpp,"CBoolParam::CBoolParam(const LYNXCHAR* groupname, const LYNXCHAR* name, TYPE t, void* const lpv)",1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBoxProxy.cpp,CBoxProxy::CBoxProxy(void),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBoxProxy.cpp,CBoxProxy::CBoxProxy(CEngine* lpe),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBoxProxy.cpp,CBoxProxy::~CBoxProxy(void),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxBoxProxy.cpp,"CBoxProxy::Create(Math::CVector3& c, Math::CVector3& ext)",47,41,37,2,6,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::InitMembers(void),8,7,7,0,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::CCoreEngine(void),2,2,2,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::~CCoreEngine(void),17,11,9,1,3,0,3,10,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::vCreate(),25,18,10,8,5,0,2,4,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::LoadSubSystem(const LYNXCHAR *name),27,19,10,4,2,0,6,10,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::UnloadSubSystem(CSystem* lpss),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,"CCoreEngine::RegisterEvent(CEvent::TYPE t, CGameObj* obj)",2,2,2,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::BroadcastEvent(CEvent& e),26,23,12,7,3,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxCoreEngine.cpp,CCoreEngine::Loop(void),10,10,5,2,0,1,0,1,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxDebugMemAllocator.cpp,CDebugMemAllocator::CDebugMemAllocator(CEngine* lpeng),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxDebugMemAllocator.cpp,CDebugMemAllocator::~CDebugMemAllocator(void),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxDebugMemAllocator.cpp,CDebugMemAllocator::vAlloc(size_t s),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxDebugMemAllocator.cpp,"CDebugMemAllocator::vAlloc(size_t s, const char *file, const char *func, int line)",2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxDebugMemAllocator.cpp,CDebugMemAllocator::vFree(void* p),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,AddToCallStack(const LYNXANSICHAR* s),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,GetCallStackString(),11,10,8,2,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateBuffer(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateVertexLayout(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateVertexArray(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateIndexArray(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTextureAnimation(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateVertexShader(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePixelShader(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTexture(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDepthStencilState(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateBlendState(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateRasterizerState(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSamplerState(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateMaterial(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateScript(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateReference(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateCGeometry(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateStaticMesh(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrain(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateCamera(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateModel(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite3D(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite3DCluster(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePEmitter(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateMesh(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateBone(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGrass(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkyDome(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateVolumetricCloud(CEngine* e),1,1,1,0,0,0,0,0,
